09-23-2026 01:59:29 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.187C soc2@44.343C soc0@45.343C gpu@45.062C tj@45.343C soc1@44.968C VDD_IN 4489mW/4509mW VDD_CPU_GPU_CV 524mW/521mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:30 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.406C soc2@44.375C soc0@45.25C gpu@45.343C tj@45.406C soc1@45.031C VDD_IN 4489mW/4508mW VDD_CPU_GPU_CV 484mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:30 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.062C soc2@44.343C soc0@45.281C gpu@44.968C tj@45.281C soc1@45.218C VDD_IN 4489mW/4508mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:31 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.187C soc2@44.375C soc0@45.281C gpu@44.968C tj@45.281C soc1@45C VDD_IN 4523mW/4508mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:31 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.312C soc0@45.406C gpu@45.125C tj@45.406C soc1@44.875C VDD_IN 4489mW/4507mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:32 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.312C soc2@44.5C soc0@45.343C gpu@45.125C tj@45.406C soc1@45C VDD_IN 4530mW/4508mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:32 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.343C soc2@44.406C soc0@45.343C gpu@45.312C tj@45.343C soc1@44.875C VDD_IN 4530mW/4509mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:33 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.156C soc2@44.406C soc0@45.218C gpu@45.406C tj@45.406C soc1@44.968C VDD_IN 4489mW/4508mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:33 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.156C soc2@44.375C soc0@45.281C gpu@45.156C tj@45.281C soc1@45.125C VDD_IN 4489mW/4508mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:34 RAM 1957/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.062C soc2@44.375C soc0@45.187C gpu@45.312C tj@45.312C soc1@44.937C VDD_IN 4489mW/4507mW VDD_CPU_GPU_CV 484mW/519mW VDD_SOC 1373mW/1373mW
