09-23-2026 02:00:09 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.218C soc2@46.25C soc0@46.718C gpu@48.593C tj@48.593C soc1@46.156C VDD_IN 10429mW/9218mW VDD_CPU_GPU_CV 6150mW/5049mW VDD_SOC 1353mW/1357mW
09-23-2026 02:00:10 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47C soc2@46.312C soc0@46.968C gpu@48.593C tj@48.593C soc1@45.968C VDD_IN 10429mW/9268mW VDD_CPU_GPU_CV 6190mW/5096mW VDD_SOC 1353mW/1357mW
09-23-2026 02:00:10 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.062C soc2@46.375C soc0@46.812C gpu@48.937C tj@48.937C soc1@46.093C VDD_IN 10389mW/9313mW VDD_CPU_GPU_CV 6190mW/5140mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:11 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.281C soc2@46.406C soc0@46.812C gpu@48.718C tj@48.718C soc1@46.187C VDD_IN 10429mW/9356mW VDD_CPU_GPU_CV 6150mW/5179mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:11 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.375C soc2@46.562C soc0@46.906C gpu@49.062C tj@49.062C soc1@46.218C VDD_IN 10389mW/9394mW VDD_CPU_GPU_CV 6150mW/5215mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:12 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.312C soc2@46.5C soc0@47.031C gpu@48.937C tj@48.937C soc1@46.312C VDD_IN 10350mW/9429mW VDD_CPU_GPU_CV 6150mW/5248mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:12 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.125C soc2@46.593C soc0@47.062C gpu@49.031C tj@49.031C soc1@46.5C VDD_IN 10350mW/9460mW VDD_CPU_GPU_CV 6150mW/5279mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:13 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.312C soc2@46.625C soc0@47C gpu@48.906C tj@48.906C soc1@46.25C VDD_IN 10350mW/9490mW VDD_CPU_GPU_CV 6150mW/5308mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:13 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,1%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.312C soc2@46.718C soc0@47.031C gpu@48.812C tj@48.812C soc1@46.312C VDD_IN 10350mW/9518mW VDD_CPU_GPU_CV 6150mW/5335mW VDD_SOC 1353mW/1356mW
09-23-2026 02:00:14 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.437C soc2@46.781C soc0@47.125C gpu@48.968C tj@48.968C soc1@46.312C VDD_IN 10350mW/9544mW VDD_CPU_GPU_CV 6150mW/5361mW VDD_SOC 1353mW/1356mW
