09-23-2026 02:14:16 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,3%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@51.5C soc0@52.468C gpu@51.656C tj@52.343C soc1@52.031C VDD_IN 4523mW/4578mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1358mW
09-23-2026 02:14:16 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.031C soc2@51.437C soc0@52.343C gpu@51.968C tj@52.343C soc1@52.093C VDD_IN 4523mW/4576mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1359mW
09-23-2026 02:14:17 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C soc2@51.437C soc0@52.25C gpu@51.687C tj@52.25C soc1@52.125C VDD_IN 4523mW/4574mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1360mW
09-23-2026 02:14:17 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@51.375C soc0@52.218C gpu@51.593C tj@52.218C soc1@51.875C VDD_IN 4563mW/4574mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1360mW
09-23-2026 02:14:18 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C soc2@51.25C soc0@52.093C gpu@51.5C tj@52.093C soc1@51.968C VDD_IN 4523mW/4572mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1361mW
09-23-2026 02:14:18 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.968C soc2@51.25C soc0@52.093C gpu@51.406C tj@52.093C soc1@52C VDD_IN 4523mW/4570mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1361mW
09-23-2026 02:14:19 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.906C soc2@51.156C soc0@52.125C gpu@51.687C tj@52.125C soc1@52.062C VDD_IN 4523mW/4568mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1361mW
09-23-2026 02:14:19 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.593C soc2@51.156C soc0@52.062C gpu@51.437C tj@52.062C soc1@51.718C VDD_IN 4563mW/4568mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1362mW
09-23-2026 02:14:20 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@51.187C soc0@52.031C gpu@51.343C tj@52.031C soc1@51.718C VDD_IN 4563mW/4568mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1362mW
09-23-2026 02:14:20 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,3%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@51.156C soc0@51.875C gpu@51.156C tj@51.937C soc1@51.781C VDD_IN 4563mW/4568mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1363mW
