09-23-2026 02:17:40 RAM 1944/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,5%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 27%@2133 GR3D_FREQ 96%@[911] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.062C soc2@54.625C soc0@54.875C gpu@55.281C tj@55.281C soc1@54.656C VDD_IN 11366mW/5444mW VDD_CPU_GPU_CV 4080mW/846mW VDD_SOC 2460mW/1458mW
09-23-2026 02:17:40 RAM 1944/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@729,3%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 27%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.281C soc2@54.875C soc0@55.187C gpu@55.968C tj@55.968C soc1@54.562C VDD_IN 13667mW/5787mW VDD_CPU_GPU_CV 4817mW/1012mW VDD_SOC 3599mW/1547mW
09-23-2026 02:17:41 RAM 1944/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,7%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 33%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.468C soc2@55.093C soc0@55.156C gpu@56.062C tj@56.062C soc1@54.656C VDD_IN 14713mW/6144mW VDD_CPU_GPU_CV 5116mW/1176mW VDD_SOC 4146mW/1651mW
09-23-2026 02:17:41 RAM 1944/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@729,3%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 37%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.593C soc2@55.281C soc0@55.25C gpu@56.062C tj@56.062C soc1@54.875C VDD_IN 15029mW/6486mW VDD_CPU_GPU_CV 5195mW/1330mW VDD_SOC 4343mW/1755mW
09-23-2026 02:17:42 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,7%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 40%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.812C soc2@55.312C soc0@55.375C gpu@56.437C tj@56.437C soc1@55C VDD_IN 15029mW/6802mW VDD_CPU_GPU_CV 5156mW/1472mW VDD_SOC 4383mW/1852mW
09-23-2026 02:17:42 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 42%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.75C soc2@55.375C soc0@55.437C gpu@56.125C tj@56.125C soc1@55.187C VDD_IN 15148mW/7100mW VDD_CPU_GPU_CV 5195mW/1605mW VDD_SOC 4383mW/1943mW
09-23-2026 02:17:43 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [5%@1344,0%@1344,0%@1344,0%@1344,0%@729,3%@729] EMC_FREQ 43%@3199 GR3D_FREQ 97%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.843C soc2@55.406C soc0@55.656C gpu@56.562C tj@56.562C soc1@55.031C VDD_IN 15187mW/7379mW VDD_CPU_GPU_CV 5195mW/1729mW VDD_SOC 4422mW/2028mW
09-23-2026 02:17:43 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [5%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 44%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.937C soc2@55.5C soc0@55.562C gpu@56.406C tj@56.406C soc1@55.062C VDD_IN 15187mW/7639mW VDD_CPU_GPU_CV 5195mW/1844mW VDD_SOC 4422mW/2108mW
09-23-2026 02:17:44 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@729,4%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 44%@3199 GR3D_FREQ 94%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.968C soc2@55.625C soc0@55.562C gpu@56.375C tj@56.375C soc1@55.187C VDD_IN 14950mW/7875mW VDD_CPU_GPU_CV 5077mW/1949mW VDD_SOC 4343mW/2180mW
09-23-2026 02:17:44 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,7%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 44%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.125C soc2@55.562C soc0@55.656C gpu@56.75C tj@56.75C soc1@55.156C VDD_IN 14990mW/8098mW VDD_CPU_GPU_CV 5077mW/2046mW VDD_SOC 4343mW/2248mW
09-23-2026 02:17:45 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,7%@1344,1%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 45%@3199 GR3D_FREQ 96%@[916] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56C soc2@55.656C soc0@55.781C gpu@56.531C tj@56.531C soc1@55.062C VDD_IN 15029mW/8308mW VDD_CPU_GPU_CV 5116mW/2139mW VDD_SOC 4383mW/2312mW
09-23-2026 02:17:45 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,5%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 45%@3199 GR3D_FREQ 96%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.062C soc2@55.687C soc0@55.593C gpu@56.812C tj@56.812C soc1@55.187C VDD_IN 15069mW/8507mW VDD_CPU_GPU_CV 5156mW/2228mW VDD_SOC 4383mW/2373mW
09-23-2026 02:17:46 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@729,2%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 45%@3199 GR3D_FREQ 94%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.156C soc2@55.875C soc0@55.718C gpu@56.406C tj@56.406C soc1@55.25C VDD_IN 14950mW/8691mW VDD_CPU_GPU_CV 5116mW/2311mW VDD_SOC 4383mW/2431mW
09-23-2026 02:17:46 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,6%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 45%@3199 GR3D_FREQ 96%@[910] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.218C soc2@55.812C soc0@55.75C gpu@56.687C tj@56.687C soc1@55.406C VDD_IN 14990mW/8866mW VDD_CPU_GPU_CV 5116mW/2389mW VDD_SOC 4383mW/2485mW
09-23-2026 02:17:47 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@729,5%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 45%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.187C soc2@55.812C soc0@55.812C gpu@56.625C tj@56.625C soc1@55.218C VDD_IN 15069mW/9033mW VDD_CPU_GPU_CV 5116mW/2462mW VDD_SOC 4383mW/2536mW
09-23-2026 02:17:48 RAM 1945/7620MB (lfb 141x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,9%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 45%@3199 GR3D_FREQ 96%@[909] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@56.25C soc2@55.843C soc0@55.781C gpu@56.562C tj@56.562C soc1@55.25C VDD_IN 15108mW/9193mW VDD_CPU_GPU_CV 5116mW/2532mW VDD_SOC 4383mW/2585mW
