09-23-2026 02:14:53 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@50.937C soc0@51.375C gpu@52.625C tj@52.625C soc1@50.625C VDD_IN 10270mW/9322mW VDD_CPU_GPU_CV 6021mW/5074mW VDD_SOC 1393mW/1389mW
09-23-2026 02:14:53 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@50.968C soc0@51.437C gpu@52.687C tj@52.687C soc1@50.687C VDD_IN 10270mW/9359mW VDD_CPU_GPU_CV 6021mW/5110mW VDD_SOC 1393mW/1389mW
09-23-2026 02:14:54 RAM 1046/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,5%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@50.937C soc0@51.312C gpu@52.875C tj@52.875C soc1@50.718C VDD_IN 10429mW/9398mW VDD_CPU_GPU_CV 6061mW/5146mW VDD_SOC 1391mW/1389mW
09-23-2026 02:14:54 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C soc2@51C soc0@51.343C gpu@52.75C tj@52.75C soc1@50.843C VDD_IN 10350mW/9432mW VDD_CPU_GPU_CV 6061mW/5178mW VDD_SOC 1393mW/1389mW
09-23-2026 02:14:55 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C soc2@50.937C soc0@51.562C gpu@52.843C tj@52.843C soc1@50.718C VDD_IN 10310mW/9462mW VDD_CPU_GPU_CV 6061mW/5209mW VDD_SOC 1393mW/1389mW
09-23-2026 02:14:56 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.625C soc2@51.062C soc0@51.312C gpu@52.718C tj@52.718C soc1@50.812C VDD_IN 10350mW/9492mW VDD_CPU_GPU_CV 6061mW/5237mW VDD_SOC 1393mW/1390mW
09-23-2026 02:14:56 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,1%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@51.125C soc0@51.437C gpu@53.156C tj@53.156C soc1@50.843C VDD_IN 10310mW/9518mW VDD_CPU_GPU_CV 6021mW/5262mW VDD_SOC 1393mW/1390mW
09-23-2026 02:14:57 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.593C soc2@51.125C soc0@51.531C gpu@52.812C tj@52.812C soc1@50.781C VDD_IN 10310mW/9543mW VDD_CPU_GPU_CV 6021mW/5286mW VDD_SOC 1393mW/1390mW
09-23-2026 02:14:57 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[912] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C soc2@51.093C soc0@51.468C gpu@53.125C tj@53.125C soc1@50.906C VDD_IN 10270mW/9565mW VDD_CPU_GPU_CV 6021mW/5308mW VDD_SOC 1393mW/1390mW
09-23-2026 02:14:58 RAM 1045/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[914] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@51.25C soc0@51.562C gpu@52.906C tj@52.906C soc1@50.937C VDD_IN 10270mW/9586mW VDD_CPU_GPU_CV 6021mW/5329mW VDD_SOC 1393mW/1390mW
